2016/06/16 05:51:20.348165:	RESET
2016/06/16 05:51:20.348284:	>
2016/06/16 05:51:20.364476:	FIXTURE_IN_ON
2016/06/16 05:51:20.364594:	>
2016/06/16 05:51:22.379804:	FIXTURE_DOWN_ON
2016/06/16 05:51:22.379917:	>
2016/06/16 05:51:24.395640:	REV1_ON
2016/06/16 05:51:24.395744:	>
2016/06/16 05:51:27.309257:	RUNLED_ON
2016/06/16 05:51:27.320590:	>
2016/06/16 05:51:27.324545:	APPID_ON
2016/06/16 05:51:27.334896:	>
2016/06/16 05:51:27.345210:	CONN_DET_ON
2016/06/16 05:51:27.347604:	>
2016/06/16 05:51:27.362065:	FORCE_DFU_ON
2016/06/16 05:51:27.369404:	>
2016/06/16 05:51:27.566154:	DL_HUBPWR_ON
2016/06/16 05:51:27.567274:	>
2016/06/16 05:51:27.579814:	USB_DP_DN_ON
2016/06/16 05:51:27.580734:	>
2016/06/16 05:51:27.790880:	USB_POWER_A_ON
2016/06/16 05:51:27.790968:	>
2016/06/16 05:51:27.997107:	BATT_POWER_ON
2016/06/16 05:51:27.998824:	>
2016/06/16 05:51:35.365356:	gas gauge read timed out
2016/06/16 05:51:35.875074:	gas gauge read timed out
2016/06/16 05:51:35.887667:	hdqgauge temperature bogus: -1dK
2016/06/16 05:51:36.384440:	gas gauge read timed out
2016/06/16 05:51:36.452507:	power supply type usb host
2016/06/16 05:51:36.458338:	DCS Init Lib Built for: iBoot SOC
2016/06/16 05:51:36.470623:	DCS Init [iBoot Build] for ChipID==0x8010 chipRev B1 (#DCS==4, #Rank==1) [SoC] using Coldboot
2016/06/16 05:51:36.476081:	vendor_id: 0x6, dev_density: 0x2
2016/06/16 05:51:36.477391:	Memory_size: 2147483648 bytes
2016/06/16 05:51:36.477662:	rAMCC_DRAMACCCTRL: 0x0000000f
2016/06/16 05:51:37.280043:	nvme: initializing controller 0
2016/06/16 05:51:37.280269:	nvme: S3E B0 Sandisk 1y TLC 3D 2 plane 256GB NAND
2016/06/16 05:51:37.280453:	nvme: Model Number:  APPLE SSD AP0256K                       
2016/06/16 05:51:37.293147:	nvme: Serial Number: 01850C7815CC0EE70   
2016/06/16 05:51:37.293386:	nvme: Firmware Rev:  35.03.01
2016/06/16 05:51:37.293565:	nvme: chip hw/rev:   0x00/0x10
2016/06/16 05:51:37.293733:	nvme: nand device:   930b
2016/06/16 05:51:37.293794:	nvme: FTL ver:       23.1
2016/06/16 05:51:37.294095:	nvme: MSP/DM vers:   1/101
2016/06/16 05:51:37.309046:	nvme: ASP_BUILD_TRAIN: 6.0.5~16        
2016/06/16 05:51:37.309248:	nvme: MSP_BUILD_TRAIN: 128Gb-1.0.65~1  
2016/06/16 05:51:37.309324:	nvme: SQES 102 CQES 68
2016/06/16 05:51:37.311785:	nvme: max_transfer_blocks 256
2016/06/16 05:51:37.326615:	!!!!! sys_load_environment: boot-command=fsboot
2016/06/16 05:51:37.359558:	syscfg: version 0x00020002 with 4 entries using 104 of 131072 bytes
